	time (ns)	angle (degree)	average angle	angle standard deviation
710	1210.000	10.870	12.521	2.325
711	1211.000	11.426	12.453	2.286
712	1212.000	14.623	12.482	2.277
713	1213.000	15.901	12.432	2.313
714	1214.000	11.146	12.453	2.299
715	1215.000	10.617	12.406	2.299
716	1216.000	13.755	12.431	2.290
717	1217.000	17.264	12.367	2.311
718	1218.000	15.452	12.388	2.302
719	1219.000	14.817	12.482	2.293
720	1220.000	14.016	12.615	2.227
721	1221.000	13.190	12.760	2.028
722	1222.000	15.707	12.829	1.930
723	1223.000	12.901	12.825	1.935
724	1224.000	12.166	12.720	2.079
725	1225.000	10.240	12.576	2.067
726	1226.000	11.279	12.319	2.036
727	1227.000	11.807	12.364	2.021
728	1228.000	11.867	12.322	2.069
729	1229.000	10.846	12.218	2.060
730	1230.000	11.619	11.834	1.973
731	1231.000	13.411	11.488	2.070
732	1232.000	13.141	11.152	2.185
733	1233.000	11.692	10.918	2.178
734	1234.000	10.981	10.820	2.126
735	1235.000	10.760	10.556	1.891
736	1236.000	8.810	10.363	1.888
737	1237.000	11.010	10.215	1.886
738	1238.000	9.472	10.211	1.886
739	1239.000	12.284	10.072	1.931
740	1240.000	9.566	9.925	1.933
741	1241.000	11.162	9.702	2.021
742	1242.000	7.665	9.639	2.008
743	1243.000	6.781	9.595	1.975
744	1244.000	6.420	9.417	1.811
745	1245.000	8.176	9.365	1.715
746	1246.000	10.733	9.374	1.729
747	1247.000	9.120	9.333	1.701
748	1248.000	8.074	9.326	1.696
749	1249.000	8.460	9.461	1.785
750	1250.000	10.142	9.501	1.831
751	1251.000	7.811	9.630	1.939
752	1252.000	8.132	9.595	1.897
753	1253.000	6.273	9.733	2.016
754	1254.000	9.269	9.795	2.084
755	1255.000	10.531	9.939	2.055
756	1256.000	8.959	10.055	1.949
